ACTIVITY_DATE,STEPS,KM,CALORIES,DAY,MONTH,YEAR
2026-08-09,21022,6.90,383,Sunday,August,2026
,,,,,,
2026-01-01,1000,0.71,39,Thursday,January,2026
2026-01-02,1254,0.89,49,Friday,January,2026
2026-01-03,1021,0.72,40,Saturday,January,2026
2026-01-04,1085,0.77,43,Sunday,January,2026
2026-01-05,562,0.40,22,Monday,January,2026
2026-01-06,2275,1.61,90,Tuesday,January,2026
2026-01-07,1060,0.75,42,Wednesday,January,2026
2026-01-08,788,0.56,31,Thursday,January,2026
2026-01-09,1079,0.76,43,Friday,January,2026
2026-01-10,631,0.45,25,Saturday,January,2026
2026-01-11,2638,1.87,104,Sunday,January,2026
2026-01-12,2309,1.63,91,Monday,January,2026
2026-01-13,1195,0.85,47,Tuesday,January,2026
2026-01-14,2425,1.72,96,Wednesday,January,2026
2026-01-15,1244,0.88,49,Thursday,January,2026
2026-01-16,1131,0.80,45,Friday,January,2026
2026-01-17,2000,1.41,79,Saturday,January,2026
2026-01-18,3096,2.19,122,Sunday,January,2026
2026-01-19,2050,1.45,81,Monday,January,2026
2026-01-20,2519,1.78,99,Tuesday,January,2026
2026-01-21,3000,2.12,118,Wednesday,January,2026
2026-01-22,653,0.46,26,Thursday,January,2026
2026-01-23,1188,0.84,47,Friday,January,2026
2026-01-24,1474,1.04,58,Saturday,January,2026
2026-01-25,1498,1.06,59,Sunday,January,2026
2026-01-26,1290,0.91,51,Monday,January,2026
2026-01-27,1808,1.28,71,Tuesday,January,2026
2026-01-28,1227,0.87,48,Wednesday,January,2026
2026-01-29,1272,0.90,50,Thursday,January,2026
2026-01-30,2158,1.53,85,Friday,January,2026
2026-01-31,1284,0.89,52,Saturday,January,2026
2026-02-01,1367,0.97,54,Sunday,February,2026
2026-02-02,3086,2.19,122,Monday,February,2026
2026-02-03,1133,0.80,45,Tuesday,February,2026
2026-02-04,1789,1.27,71,Wednesday,February,2026
2026-02-05,719,0.51,28,Thursday,February,2026
2026-02-06,1268,0.90,50,Friday,February,2026
2026-02-07,1334,0.94,53,Saturday,February,2026
2026-02-08,1375,0.97,54,Sunday,February,2026
2026-02-09,3005,2.13,119,Monday,February,2026
2026-02-10,1570,1.11,62,Tuesday,February,2026
2026-02-11,1922,1.36,76,Wednesday,February,2026
2026-02-12,2480,1.76,98,Thursday,February,2026
2026-02-13,1148,0.81,45,Friday,February,2026
2026-02-14,1000,0.71,39,Saturday,February,2026
2026-02-15,3000,2.12,118,Sunday,February,2026
2026-02-16,1554,1.10,61,Monday,February,2026
2026-02-17,647,0.46,26,Tuesday,February,2026
2026-02-18,1207,0.85,48,Wednesday,February,2026
2026-02-19,1237,0.88,49,Thursday,February,2026
2026-02-20,3040,2.15,120,Friday,February,2026
2026-02-21,2321,1.64,92,Saturday,February,2026
